Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,O=C(c1c(ccc2c1cccc2)C1CCCOC1)NC1CCNCC1c1ccc[nH]1,C25H29N3O2,403.52,30,15,0.40,5,3,3,122.78,66.15,n/d,3.18,3.56,2.42,3.42,3.14,-4.39,1.66e-02,4.12e-05,Moderately soluble,-4.24,2.32e-02,5.75e-05,Moderately soluble,-4.45,1.43e-02,3.55e-05,Moderately soluble,High,Yes,Yes,n/d,n/d,n/d,n/d,n/d,-6.50,0,0,0,0,0,0.55,0,0,1,4.09
Molecule 2,Fc1ccc(c(c1)c1ccc2c(c1C1CCNCC1)cccc2)NS(=O)(=O)Cc1cccnc1,C27H26FN3O2S,475.58,34,22,0.22,6,5,2,138.69,79.47,n/d,4.40,6.23,3.28,5.03,4.74,-5.64,1.08e-03,2.27e-06,Moderately soluble,-5.79,7.79e-04,1.64e-06,Moderately soluble,-10.45,1.68e-08,3.52e-11,Insoluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-6.08,0,2,0,1,0,0.55,0,0,2,3.60
Molecule 3,O=C(CC1CNCCC1c1cccc2c1cccc2)NC(=O)N,C18H21N3O2,311.38,23,10,0.33,5,3,3,93.46,84.22,n/d,2.19,1.74,1.95,1.94,1.95,-3.14,2.25e-01,7.21e-04,Soluble,-3.59,7.96e-02,2.56e-04,Soluble,-5.03,2.91e-03,9.33e-06,Moderately soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-6.64,0,0,0,0,0,0.55,0,0,0,2.79
Molecule 4,OC1C=C(Cl)C(O)CCCC1CC1CCNC2C1CCCC2,C18H30ClNO2,327.89,22,0,0.89,2,3,3,95.66,52.49,n/d,2.86,2.81,2.82,2.54,2.76,-3.54,9.40e-02,2.87e-04,Soluble,-3.62,7.84e-02,2.39e-04,Soluble,-2.87,4.45e-01,1.36e-03,Soluble,High,Yes,Yes,n/d,n/d,n/d,n/d,n/d,-6.27,0,0,0,0,0,0.55,0,0,0,4.56
Molecule 5,O1CCN(CC1)CCN1CC2CCNC2C2C(C1)CCCC2,C18H33N3O,307.47,22,0,1.00,3,4,1,101.61,27.74,n/d,1.81,0.28,1.88,1.74,1.43,-2.69,6.30e-01,2.05e-03,Soluble,-2.01,2.99e+00,9.73e-03,Soluble,-2.65,6.82e-01,2.22e-03,Soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-6.89,0,0,0,0,0,0.55,0,0,0,3.97
Molecule 6,FC1CCC2C3C(C1)CCNC3NCC2,C12H21FN2,212.31,15,0,1.00,0,3,2,66.94,24.06,n/d,1.82,1.33,2.64,1.71,1.87,-2.30,1.06e+00,4.98e-03,Soluble,-1.95,2.41e+00,1.13e-02,Very soluble,-2.44,7.64e-01,3.60e-03,Soluble,High,Yes,Yes,n/d,n/d,n/d,n/d,n/d,-6.30,0,0,0,0,0,0.55,0,0,1,3.61
Molecule 7,CCC(OC1C=NCC2C(C1)CCCC2)CC#CC(O)O,C17H27NO3,293.40,21,0,0.82,4,4,2,88.19,62.05,n/d,2.20,1.83,1.80,2.88,2.18,-2.78,4.86e-01,1.66e-03,Soluble,-3.14,2.14e-01,7.29e-04,Soluble,-1.74,5.36e+00,1.83e-02,Soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-6.53,0,0,0,0,0,0.55,0,2,0,5.12
Molecule 8,CC1CC2C(C1)OCCN(C2)C1SC2CC(C(C2SC1F)O)O,C16H26FNO3S2,363.51,23,0,1.00,1,5,2,96.02,103.53,n/d,2.27,1.74,1.53,0.95,1.62,-3.46,1.27e-01,3.48e-04,Soluble,-4.08,3.02e-02,8.30e-05,Moderately soluble,-0.73,6.80e+01,1.87e-01,Soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-6.91,0,0,0,0,0,0.55,0,0,1,5.42
Molecule 9,C1C=CCC(CC1)C1NCCCC1NCNC1=NC1,C15H26N4,262.39,19,0,0.80,5,3,3,86.73,48.45,n/d,1.59,0.64,2.12,2.06,1.60,-2.14,1.91e+00,7.27e-03,Soluble,-2.22,1.59e+00,6.05e-03,Soluble,-3.20,1.65e-01,6.30e-04,Soluble,High,Yes,Yes,n/d,n/d,n/d,n/d,n/d,-6.77,0,0,0,0,0,0.55,0,2,0,4.44
Molecule 10,O=C(NC(C1=CCCNCC1)C)CCNC(C1CCCCC1)O,C18H33N3O2,323.47,23,0,0.83,8,4,4,97.62,73.39,n/d,1.37,1.30,1.61,2.23,1.63,-2.18,2.13e+00,6.60e-03,Soluble,-2.51,9.90e-01,3.06e-03,Soluble,-3.54,9.44e-02,2.92e-04,Soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-7.30,0,0,0,0,0,0.55,0,2,1,4.40
