ID,SMILES,MW,QED,LogP,pKd,Uncertainty,k_off,Residence_Time
gcdm_guided_0,CCC(=C=C=N)CC1NCCC(C2CC(CCC(C)C(=O)O)C2(C)C)O1,362.51,0.450,3.98,7.13,0.00,0.271,3.7
gcdm_guided_1,N=C=O.NC12CN3CC(C4CNC4)CCCC3NC3N(C4CCCC4)CNCC31C2,417.60,0.326,0.36,6.99,0.00,0.318,3.1
gcdm_guided_2,COC1CNC(N)C2CC(C(C)C)C3CC23CC2NNC(C#CC3CCCCC3)N2C1,429.65,0.505,2.22,6.99,0.00,0.319,3.1
gcdm_guided_3,CCC(C)C1SCCCCC1C.O.OC12NC1(CC1CCCCC1)S2,389.67,0.679,4.78,6.83,0.00,0.385,2.6
gcdm_guided_4,C.C.CCCNC(O)C(O)CC(O)C(O)CCCC(O)F,315.43,0.310,0.51,6.58,0.00,0.510,2.0
gcdm_guided_5,NC(CS)CCSCCCCCCCO,251.46,0.390,2.31,6.58,0.00,0.513,1.9
gcdm_guided_6,C=CC(C=CC(CC)NC)C(C)F.CCOC(=O)NC(O)C1COC(CC)C1,402.55,0.385,3.57,6.56,0.00,0.526,1.9
gcdm_guided_7,CC.COC1CC=CC(C2CCCC3CC(F)CCC3O2)CCC2CCCCC2C=CCC1,462.73,0.382,8.60,6.52,0.00,0.547,1.8
gcdm_guided_8,CCCCCC=CC(C)C1C(N)NC2CN3NC(C)N=C3C2C1O,335.50,0.433,1.19,6.49,0.00,0.569,1.8
gcdm_guided_9,CC.CCC(C=CC1CC(N)C1)C1=C=CC(CC(C)(O)F)C1=O,323.45,0.579,3.68,6.49,0.00,0.571,1.8
gcdm_guided_10,C.CC.CCCC1C(O)C(O)C2CCC(CCC3CCC(F)N3)C2C1O.O.O,411.60,0.514,1.98,6.47,0.00,0.581,1.7
gcdm_guided_11,CCCCCC1SNC2C(=N)CCC(OC)CC12,270.44,0.594,3.39,6.45,0.00,0.594,1.7
gcdm_guided_12,CCCCC(C)NC1CC(O)SCC(CCN)=NC1Cl,321.92,0.497,2.33,6.45,0.00,0.598,1.7
gcdm_guided_13,CCC12CCCC1CC(CC1NC3NC4SCOC(C)C4CC34SC14)C2,394.65,0.702,4.18,6.44,0.00,0.600,1.7
gcdm_guided_14,OCCC1CC(C2NC2CC(O)C2CC=C(F)CCC2)CCO1,327.44,0.655,2.30,6.43,0.00,0.611,1.6
gcdm_guided_15,C.C.C#CC1CC1.CC(C)=CC1CCCCC1.CNC(NC)C(O)CN,369.64,0.337,3.91,6.43,0.00,0.612,1.6
gcdm_guided_16,CC1CC2CN(C3SC4CC(O)C(O)C4SC3F)CCOC2C1,363.52,0.740,1.70,6.42,0.00,0.615,1.6
gcdm_guided_17,CC(C)O.CNC1CN(N)C=C(CCC(C)C)C2CC2(Cl)N1.N,349.95,0.302,2.14,6.41,0.00,0.626,1.6
gcdm_guided_18,CC1CCC2C(F)ON(N3CC(O)C(O)C=C3O)C(C(O)O)C2C1CO,378.40,0.336,-1.17,6.40,0.00,0.634,1.6
gcdm_guided_19,C.C.CCCC(C)C(O)C(O)O.CNCC1CCCCC1.CO.Cl,376.02,0.460,3.18,6.39,0.00,0.639,1.6
gcdm_guided_20,CC(S)CCCC(CCC(F)C(C#N)C(O)O)C(N)O.F,328.43,0.304,1.09,6.39,0.00,0.640,1.6
gcdm_guided_21,CCC1(C)NC1CC(C)OC1NCC(O)C1CC(CN)CC(C)C(C)CO,385.59,0.325,1.45,6.38,0.00,0.645,1.6
gcdm_guided_22,CC1CC(CCC=C2CS2)CCC1[SH](O)O,262.44,0.526,4.15,6.38,0.00,0.647,1.5
gcdm_guided_23,CC1CCCCC1CNC1CN2C(CC1N)NC(NC1CNNN1)C2C,366.56,0.332,-1.02,6.37,0.00,0.657,1.5
gcdm_guided_24,CCCC1COC1CC(CCC1CCCCC1F)C(N)O.CN,332.50,0.597,2.97,6.36,0.00,0.658,1.5
gcdm_guided_25,C.CNC(O)C=C=C1CC1=CC1CCC(O)S1,255.38,0.531,1.79,6.36,0.00,0.660,1.5
gcdm_guided_26,CC1C=CC(=NCCC2=CC(F)CC2)C(C)NC(C)NCC(O)C(O)C=CC1.CCO,439.62,0.436,2.66,6.36,0.00,0.661,1.5
gcdm_guided_27,CC(F)CC1COC2C(CNC2C(C)CCC(CC(=N)O)C(C)C)C1,356.53,0.425,4.34,6.36,0.00,0.664,1.5
gcdm_guided_28,C.C1CNC1.CC(O)(CCO)OC1CC(N)N1.CCCC.CCO.CO.O,403.61,0.312,-0.10,6.35,0.00,0.668,1.5
gcdm_guided_29,NCC(CC1CCCC1)OCC(N)C1CC(O)C(O)C(O)C1O,332.44,0.340,-1.30,6.35,0.00,0.668,1.5
gcdm_guided_30,OC1CCCC(CC2CCNC3CCCCC23)C(O)C=C1Cl,327.90,0.730,3.19,6.35,0.00,0.670,1.5
gcdm_guided_31,CCCC(OO)C1OCCS1.CCNC1CCNCC1CN1CC2CNCC2C1C,444.69,0.334,1.85,6.35,0.00,0.672,1.5
gcdm_guided_32,C.CC(N)CO.CCC.CCC(C)C.NCC(CO)CCC(O)Cl.O,393.05,0.422,2.50,6.34,0.00,0.673,1.5
gcdm_guided_33,CCC(CC#CC(O)O)OC1C=NCC2CCCCC2C1,293.41,0.616,2.14,6.34,0.00,0.678,1.5
gcdm_guided_34,CCC1=[SH]C1C1CCC(C)C(Cl)C1.CCNCC1CCNCN1,362.03,0.345,2.97,6.34,0.00,0.679,1.5
gcdm_guided_35,CCC(O)=CCC(C)C(O)C(O)C(=O)NC(=O)NCC(C)CC,330.43,0.410,1.46,6.34,0.00,0.680,1.5
gcdm_guided_36,CCC(C)CCC1CCN(C(O)CCC(C)O)C23CC2CCC3NC1,352.56,0.628,3.12,6.33,0.00,0.682,1.5
gcdm_guided_37,CC(CNC1CCCC1)OC1CCN(CO)C(O)CC1O,302.42,0.553,0.02,6.33,0.00,0.685,1.5
gcdm_guided_38,CC(F)C(O)C1CC1C1CC=CC([PH](O)(O)O)CCC1C,322.36,0.472,2.17,6.33,0.00,0.686,1.5
gcdm_guided_39,C.CC(C=CCN)CO.CC(O)CCC1C(CN)=NC(=O)C(O)C1C,359.51,0.418,0.47,6.32,0.00,0.688,1.5
gcdm_guided_40,CC(CCC(N)Cl)CC(C)C1CC1(O)Br,298.65,0.585,3.06,6.32,0.00,0.692,1.4
gcdm_guided_41,C1CCNC1.CC1CCCC(F)N1.O=C(O)S,266.38,0.402,2.41,6.32,0.00,0.694,1.4
gcdm_guided_42,CCCSC1CC(C2CCCC(Cl)C2)CCC1O,290.90,0.772,4.46,6.31,0.00,0.697,1.4
gcdm_guided_43,CC1CC(Cl)CC1O.CNCC(C)=CC(C)CC1C(N)N=CC1ON,374.96,0.322,1.81,6.31,0.00,0.700,1.4
gcdm_guided_44,CC1CCC=CC1C1=NC(C(N)=O)C(C(N)=O)C(C)C1.CCNC1=CCNN1.O,408.55,0.395,-0.25,6.31,0.00,0.704,1.4
gcdm_guided_45,CCC.CCCC(C=N)C1N(CC)C1(O)O.CN,261.41,0.342,1.39,6.30,0.00,0.706,1.4
gcdm_guided_46,CC(O)CS.CO.OC1CNCC2C=CCCN=C=COC12,332.47,0.344,0.00,6.30,0.00,0.706,1.4
