ID,SMILES,MW,QED,LogP,pKd,Uncertainty,k_off,Residence_Time
gcdm_guided_0,CC(O)CCCCCC(CS)CC1=C=NCC1,255.43,0.481,3.25,7.18,0.00,0.256,3.9
gcdm_guided_1,CCC(=S)CCCO.CCC1CCNCC1CC.OP(O)O,355.48,0.372,2.76,6.95,0.00,0.335,3.0
gcdm_guided_2,C=C.CCCC1NC(O)C(COCC(O)C(O)C(C)O)C1C,319.44,0.411,0.25,6.62,0.00,0.488,2.1
gcdm_guided_3,CC.CNC(C)NC1(C)CC1NCO.FC1CC2CCCC2C1,331.52,0.585,2.77,6.57,0.00,0.519,1.9
gcdm_guided_4,CC1CO1.CCC(CN)C(C)CCCCNC1NC(=N)CC(O)C1C,356.56,0.321,2.07,6.54,0.00,0.536,1.9
gcdm_guided_5,CCCNCC1CCC2C(=N1)OC1NCC=CCC(C)CCC3C(N)NC2N13,390.58,0.428,1.33,6.51,0.00,0.557,1.8
gcdm_guided_6,CCCCCCOC.CCNC1NCC(C2CCCCC2)=C=C1CC.CCO.S,430.74,0.343,5.29,6.45,0.00,0.597,1.7
gcdm_guided_7,CCCC(F)OC.CNCCCC(C=NC1CC(N)N(C)C1)CCCN,375.58,0.359,2.13,6.38,0.00,0.642,1.6
gcdm_guided_8,C.NC1C(C2CCCC2O)C=CC2CC(CCC3CCCC4CCCCN=C=C43)C(O)CN21,457.70,0.550,4.28,6.36,0.00,0.663,1.5
gcdm_guided_9,Br.C=C1CC1C.CC(C)C=C=C=CC(F)Cl,309.65,0.373,5.20,6.32,0.00,0.695,1.4
gcdm_guided_10,CC(C)C(=N)F.CC(O)C(O)C1CCOCC1N,264.34,0.563,0.68,6.29,0.00,0.720,1.4
gcdm_guided_11,CC(CCC=C=C=CC(N)O)C(O)O,199.25,0.366,-0.14,6.28,0.00,0.727,1.4
gcdm_guided_12,CC1CCCCC1N.CCC1CC(CC=COCC2CCNC(OC)N2)OC1C.CCN,456.72,0.435,3.48,6.27,0.00,0.736,1.4
gcdm_guided_13,CC.CCCCC#N.CCN(C)CNC1C(=O)C(O)C1N,300.45,0.496,0.85,6.26,0.00,0.737,1.4
gcdm_guided_14,CC1CC(C=NC=CC2CNC(C(C)C)C2)N=C1O,263.38,0.766,2.57,6.26,0.00,0.739,1.4
gcdm_guided_15,CC(=O)OC1CNC(CC=NC2CCCCCO2)C1.NCCCCO,357.50,0.361,1.38,6.26,0.00,0.739,1.4
gcdm_guided_16,CCCCC(O)CCC1CN(C)C(F)C#CC(C(C)C)S1,315.50,0.572,3.69,6.25,0.00,0.753,1.3
