ID,SMILES,Total_Score,pKd,k_off,SA,MW,QED,LogP
mol_0,"CC(NC(=O)CCNC(O)C1CCCCC1)C1=CCCNCC1",0.9655,6.933,0.3415,3.69,323.48,0.425,1.68
mol_1,"CC1CC(C(O)O)CCC1C(C)NCCCO",0.9617,6.901,0.3544,3.99,245.36,0.411,0.71
mol_2,"CC1C(=O)NC2(C)CCSC2C1CC(CS)C(O)O",0.9548,7.539,0.1700,5.35,305.47,0.460,0.88
mol_3,"C1=CCC(C2NCCCC2NCNC2=NC2)CCC1",0.9371,6.819,0.3893,4.42,262.40,0.530,1.40
mol_4,"CCCCN(O)C(O)C1CCC(C2CCN3CCNCC3C2)CC1",0.9337,6.700,0.4466,3.96,339.52,0.512,2.29
mol_5,"ClC1CCCCC1OCNC(CNC1CCCCN1)NC1NCCCN1",0.9332,6.920,0.3466,4.92,388.99,0.254,0.57
mol_6,"CCC(CC1(C)C(=O)C(=O)OCC1=C=CN1CCC(ONC)CC1)OC1CCN(C)CC1",0.9326,6.869,0.3678,4.75,449.59,0.261,2.05
mol_7,"CCN1CCC(C)C(O)C1=C(CNC(C)=O)C(O)=NCC(C)C(O)N(C)C(C)O",0.9237,6.893,0.3577,5.11,414.55,0.208,0.28
mol_8,"CC(C)N1C=CC(NS(O)(O)CN2NC(C(O)CO)N3CCCC3C2O)C1",0.9144,6.917,0.3478,5.48,407.54,0.284,-0.91
mol_9,"CNN1NC(C)CC2=C1NC(C1CCCCN1)=C1C(O)=CNNC21",0.9085,6.833,0.3832,5.33,333.44,0.374,-0.19
mol_10,"CC1CCCC(C2=CNNCC2NCC(O)O)CC1",0.8965,6.550,0.5307,4.38,269.39,0.379,0.46
mol_11,"CC1N=CC2C3NCCCC3NC(O)C3NCC1C23",0.8956,6.839,0.3804,5.75,264.37,0.468,-0.68
mol_12,"O=C(CN1CC1)C1NC2NCCCC2N(CC2C=CCC3=C2CCNC3)C1O",0.8944,6.708,0.4425,5.22,387.53,0.371,-0.59
mol_13,"CCNN(CC(O)O)CC1CC2CCCC(=O)NC3N=CNC(C1)C23",0.8913,6.690,0.4519,5.23,353.47,0.322,-0.61
mol_14,"CC1NC(C2CCNC2)COC1C(O)CC1CCCCC1",0.8906,6.517,0.5516,4.38,296.46,0.739,1.67
mol_15,"CCC(O)CC(CO)C1C(C(C)=O)NC2C(F)CC(CC(C)O)CN21",0.8836,6.671,0.4618,5.37,360.47,0.502,0.44
mol_16,"CCC(CC1CCCCC1)C(CC(C)C)C1=C(S)NCN1",0.8806,6.409,0.6244,4.10,310.55,0.583,4.89
mol_17,"CC1CCC2CC3CNC(C4CCCC(O)C4)C3(C)C2C1",0.8791,6.534,0.5405,4.82,291.48,0.774,3.59
mol_18,"NC1C(O)CCC(C2CCCN(N3CCC(O)NC3)CC2)C1CNC1CCC(F)CC1",0.8785,6.561,0.5241,4.98,441.64,0.437,1.16
mol_19,"CNC1CCC2=C1N(NC(C)O)C1CCNC1CC2CCC(O)O",0.8777,6.602,0.5000,5.21,340.47,0.366,-0.39
mol_20,"CCC(C)C1C=CCNC1S(O)(O)O",0.8770,6.532,0.5418,4.87,221.32,0.552,2.36
mol_21,"CC1CCCC(NNC(=O)NNC2=C3CC(N)C3CCC2)C1",0.8765,6.446,0.5985,4.42,307.44,0.511,1.66
mol_22,"CCCCCNCCN(C)C(O)NC1C(O)CCC(Cl)C1N",0.8763,6.459,0.5893,4.50,336.91,0.219,0.02
mol_23,"CC12CCCC1CC1C3(CN)CC=CCC13C2",0.8756,6.630,0.4844,5.41,231.38,0.687,3.50
mol_24,"CC1NC=C(CC(O)N2CC3C(CC4CCCCN43)C(O)N2)O1",0.8754,6.639,0.4791,5.46,324.43,0.576,-0.12
mol_25,"NCCCCc1n[nH]cc1-c1cc(C2=CNON2)[nH]c(=O)c1O",0.8748,6.361,0.6599,3.94,318.34,0.415,0.09
mol_26,"OCC1CCC2C(C1)CC(O)C2C1C=CCCC1",0.8741,6.405,0.6272,4.27,250.38,0.740,2.75
mol_27,"CC1=NCC(C2CCCC3CCCCC32)C(C#N)N1",0.8731,6.427,0.6117,4.42,259.40,0.786,3.12
mol_28,"ONC1CCC2OCCC3CCC4=C5C(=C=CC(C6CCCCC6)C4)C1C2C53",0.8726,6.611,0.4951,5.40,381.56,0.512,5.17
mol_29,"COC1CCC2C1CN=CN(NC1C=C3NC(O)C4CNC=C4C3CC1)C2C1CCCCN1",0.8724,6.724,0.4347,5.95,456.64,0.432,1.07
mol_30,"CC1CC(C2C=CC=CCC2O)C(O)C(NC=N)O1",0.8723,6.580,0.5132,5.26,266.34,0.449,0.79
mol_31,"CCN1CCC2CNC3=CC(O)C4CCCC5C(O)C(CCC2C1)C3N45",0.8717,6.598,0.5026,5.37,361.53,0.655,1.17
mol_32,"CCC=CC(CC)C(=C1NCCC(C)CC2=C1CCN2)C(O)O",0.8707,6.445,0.5992,4.59,320.48,0.465,2.81
mol_33,"CC(C1CCNCC1)C(O)C(F)F",0.8703,6.337,0.6781,3.77,193.24,0.707,1.25
mol_34,"CNC(CC1CCCCC1)C(O)(CCCC(=O)NCCO)C1=C=CC=C=N1",0.8697,6.441,0.6020,4.60,375.51,0.415,1.83
mol_35,"NCCOC1CC(NC(=O)C2=CC(C3CCNCC3)CC2)CCC1O",0.8685,6.364,0.6577,4.20,351.49,0.565,0.70
mol_36,"CN1CCC2C1CNC1C(C3COC(=O)C3)N=C(CCN3CNC4CCC(O)CC43)N21",0.8672,6.613,0.4938,5.58,432.57,0.496,-0.83
mol_37,"CN(CCCC1=CCC(O)=CN1)C(O)COC1CNCO1",0.8668,6.490,0.5686,4.96,299.37,0.477,0.21
mol_38,"COCC1NCC(C)N1C1N=C2CC(OC)N(NC3=NCC4NOC(COC5=C=CC(C)C(C(CO)CO)N5)=CC34)N=C2O1",0.8661,6.893,0.3579,6.83,617.71,0.148,-1.46
mol_39,"CCCC(O)NCC(O)C(CC(O)N1CC(C)CN1)=C1NCNC(O)C1N",0.8660,6.647,0.4750,5.78,388.51,0.190,-2.73
mol_40,"FC1CCCC(C2CN(NC3CCCCN3)C=C=CN2)C1",0.8654,6.548,0.5320,5.30,294.42,0.697,2.02
mol_41,"CC(C(N)O)C(C)C(O)C1CNC(=O)NC2CCCCC21",0.8651,6.461,0.5881,4.85,299.42,0.484,0.38
mol_42,"CCCC1NCNCC1C1NC2C(=O)C3CCCCC3NC2C1C(C=N)C(N)O",0.8641,6.643,0.4770,5.82,406.58,0.234,-0.48
