ID,MW,LogP,TPSA,HBD,HBA,Rot_bonds,GI_absorption,BBB,Pgp_substrate,Lipinski_viol,PAINS,Brenk,SA_score,Bioavailability,Vina_WT,pkCSM_HIA_pct,pkCSM_Caco2_logPapp,pkCSM_WaterSol_logmol,pkCSM_Pgp1_inhibitor,pkCSM_Pgp2_inhibitor
L1,403.52,3.14,66.15,3,3,5,High,Yes,Yes,0,0,0,4.09,0.55,-10.63,93.111,0.929,-2.725,No,No
L2,475.58,4.74,79.47,2,5,6,High,No,Yes,0,0,0,3.60,0.55,-10.62,92.37,0.981,-3.775,Yes,Yes
L3,311.38,1.95,84.22,3,3,5,High,No,Yes,0,0,0,2.79,0.55,-10.59,95.493,0.998,-3.966,Yes,Yes
T1,327.89,2.76,52.49,3,3,2,High,Yes,Yes,0,0,0,4.56,0.55,-12.92,,,,,
T2,307.47,1.43,27.74,1,4,3,High,No,Yes,0,0,0,3.97,0.55,-12.71,,,,,
T3,212.31,1.87,24.06,2,3,0,High,Yes,Yes,0,0,0,3.61,0.55,-12.54,,,,,
T4,293.40,2.18,62.05,2,4,4,High,Yes,No,0,0,2,5.12,0.55,-12.38,,,,,
T5,363.51,1.62,103.53,2,5,1,High,No,Yes,0,0,0,5.42,0.55,-11.95,,,,,
T6,262.39,1.60,48.45,3,3,5,High,Yes,Yes,0,0,2,4.44,0.55,-11.59,,,,,
T7,323.47,1.63,73.39,4,4,8,High,No,Yes,0,0,2,4.40,0.55,-11.55,,,,,
T8,327.43,2.34,71.63,3,5,6,High,Yes,Yes,0,0,1,4.93,0.55,-11.41,,,,,
T9,352.55,3.09,55.73,3,4,8,High,Yes,No,0,0,0,5.22,0.55,-11.17,,,,,
T10,302.41,0.06,85.19,4,6,6,High,No,Yes,0,0,0,4.26,0.55,-11.14,,,,,
T11,270.43,2.62,70.41,2,3,5,High,Yes,No,0,0,2,4.38,0.55,-11.06,,,,,
T12,291.47,3.58,32.26,2,2,1,High,Yes,Yes,0,0,0,3.93,0.55,-9.237,,,,,
T13,250.38,2.77,40.46,2,2,2,High,Yes,No,0,0,1,4.54,0.55,-8.475,,,,,
